family,stress,level,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
B,leak,0.25,2625,causal_residual,1.0,0.0,0.9085402167032002,0.026632885296281918,0.15732320543676676,0.5641019775363743
B,leak,0.25,2625,total_flow,0.0,1.0,0.036189247881352506,0.8989838541181296,0.15732320543676676,0.02818576362891971
B,leak,0.25,2625,oracle_effect,1.0,0.0,0.935173101999482,0.0,0.15732320543676676,0.5138056170642864
B,leak,0.5,2650,causal_residual,0.9942857142857143,0.0014285714285714286,0.8892217831184436,0.04329327402166998,0.15799046581286336,0.575823814712809
B,leak,0.5,2650,total_flow,0.0,1.0,0.03396414287053073,0.8985509142695826,0.15799046581286336,0.027950645872158064
B,leak,0.5,2650,oracle_effect,1.0,0.0,0.9325150571401134,0.0,0.15799046581286336,0.5116854087938417
B,leak,0.75,2675,causal_residual,0.7064285714285714,0.09214285714285714,0.6373978137905,0.2984417784547398,0.1568093288650067,0.5929196471055866
B,leak,0.75,2675,total_flow,0.0,1.0,0.03388601017744844,0.9019535820677915,0.1568093288650067,0.027993914231637395
B,leak,0.75,2675,oracle_effect,1.0,0.0,0.9358395922452398,0.0,0.1568093288650067,0.5140374335192465
B,leak,1.0,2700,causal_residual,0.05857142857142857,0.25142857142857145,0.04891244966713888,0.8818557702206544,0.15413155349284605,0.6064655023287282
B,leak,1.0,2700,total_flow,0.0,1.0,0.03659795987422459,0.8941702600135688,0.15413155349284605,0.027715240896437815
B,leak,1.0,2700,oracle_effect,1.0,0.0,0.9307682198877935,0.0,0.15413155349284605,0.5129468734256457
B,scale,0.25,2152,causal_residual,0.0,1.0,0.037199768152338705,0.8943008279416501,0.1503622003026433,0.18624327416788553
B,scale,0.25,2152,total_flow,0.0,1.0,0.03502074428038525,0.8964798518136036,0.1503622003026433,0.027851002993798148
B,scale,0.25,2152,oracle_effect,1.0,0.0,0.9315005960939887,0.0,0.1503622003026433,0.5134066200580566
B,scale,0.5,2155,causal_residual,0.03357142857142857,0.9664285714285714,0.07890612208273383,0.8501666946488038,0.1541338875881062,0.308498346757746
B,scale,0.5,2155,total_flow,0.0,1.0,0.03478592089396104,0.8942868958375766,0.1541338875881062,0.02800413854222706
B,scale,0.5,2155,oracle_effect,1.0,0.0,0.9290728167315377,0.0,0.1541338875881062,0.513250010140208
B,scale,0.75,2157,causal_residual,0.9242857142857143,0.07571428571428572,0.8616377014549391,0.06966369166857876,0.15469352833758102,0.43148088215748903
